entity_id	name	type
E00075	Sofia Coppola	human
E00076	John McEnroe	human
E00077	Barbara Tucker	human
E00078	Edwin Hoernle	human
E00079	Vadim Glowna	human
E00080	Ian Fleming	human
E00081	4AD	record_label
E00082	James McCartney	human
E00083	drummer	profession
E00084	Johannes Valentinus Andreae	human
E00085	Zac Goldsmith	human
E00086	Giordano Bruno	martyr
E00087	Mili Avital	human
E00088	Stephen Schneider	human
E00089	Psoy Korolenko	human
E00090	Tootsie	film
E00091	Mohamed ElBaradei	human
E00092	Brian Austin Green	human
E00093	University of Berlin	university
E00094	Ami Suzuki	human
E00095	Ernst Ehrlich	human
E00096	Gail Ann Dorsey	human
E00097	Stax	record_label
E00098	Klemens von Metternich	human
E00099	Norman Petty	human
E00100	Kingdom of France	colonial_power
E00101	I.R.S. Records	record_label
E00102	Ron McGovney	human
E00103	Suzi Quatro	human
E00104	Priscilla Ahn	human
E00105	Sozialistischer Deutscher Studentenbund	political_party
E00106	Brian Cox	human
E00107	František Věnceslav Jeřábek	human
E00108	Kunal Nayyar	human
E00109	breast cancer	disease
E00110	Valeria Bruni Tedeschi	human
E00111	Zooey Deschanel	human
E00112	Kolyu Ficheto	human
E00113	Justus Jonas	human
E00114	Mary-Louise Parker	human
E00115	Weimar	urban_municipality_of_germany
E00116	Benedetto Croce	human
E00117	Goldfinger	film
E00118	Alfred Korzybski	human
E00119	Henri Poincaré	human
E00120	Jon Schaffer	human
E00121	Paris Hilton	human
E00122	Avril Lavigne	human
E00123	Jim Schwall	human
E00124	Brunswick	major_regional_center
E00125	Ernest Goüin	human
E00126	Irenaeus	human
E00127	Meg Ryan	human
E00128	Keith Moon	human
E00129	Gerald Westheimer	human
E00130	Union of German Academies of Sciences and Humanities	advocacy_group
E00131	Planet of the apes	film
E00132	Addams Family Values	film
E00133	Clemens Brentano	human
E00134	Elisabeth Förster-Nietzsche	human
E00135	Gram Parsons	human
E00136	Hanns Eisler	human
E00137	Sun Yat-sen	human
E00138	John McCain	human
E00139	musical film	film_genre
E00140	Semyon Lavochkin	human
E00141	The Aviator	film
E00142	Paul Anka	human
E00143	Susannah York	human
E00144	Bible translator	occupation
E00145	Pierre Bourdieu	human
E00146	American Academy of Arts and Sciences	learned_society
E00147	Johann Christian Daniel von Schreber	human
E00148	Chester A. Arthur	human
E00149	Gustaf de Laval	human
E00150	Friedrich Schiller	human
E00151	Juan Goytisolo Gay	human
E00152	Michael Imperioli	human
E00153	Dwayne Johnson	human
E00154	Serbian Orthodox Church	national_church
E00155	Carl Schmitt	human
E00156	William Congreve	human
E00157	Kazakhstan	landlocked_country
E00158	Mars Attacks!	film
E00159	Kim Chan	human
E00160	Charlemagne Palestine	human
E00161	Eratosthenes	human
E00162	Roy Rogers	human
E00163	Spider-Man 2	film
E00164	Lester Thurow	human
E00165	Urbain Le Verrier	human
E00166	Anna Magnani	human
E00167	Heinz Kahlau	human
E00168	psychology	academic_discipline
E00169	J. R. R. Tolkien	human
E00170	Stephen Hillenburg	human
E00171	Helen Gahagan Douglas	human
E00172	Jack White	human
E00173	Moscow	largest_city
E00174	Buddy Moreno	human
E00175	Pramathesh Barua	human
E00176	Jamie Hyneman	human
E00177	Mike Bloomfield	human
E00178	Jerzy Andrzejewski	human
E00179	Jakov Lind	human
E00180	Kamijo	human
E00181	Georgy Aleksandrov	human
E00182	The Path to 9/11	miniseries
E00183	Blood In Blood Out	film
E00184	Georg Michaelis	human
E00185	Liese Prokop	human
E00186	Jeroen Krabbé	human
E00187	George Santayana	human
E00188	Pinetop Smith	human
E00189	Elysium	film
E00190	Chris Weitz	human
E00191	Elizabeth Gurley Flynn	human
E00192	Adam Wandruszka	human
E00193	Sagopa Kajmer	human
E00194	Horst Möller	human
E00195	The Rocket Summer	human
E00196	Wilhelm Girnus	human
E00197	Brian Grazer	human
E00198	What's New Pussycat?	film
E00199	Christiane Amanpour	human
E00200	Kathleen Freeman	human
E00201	Peter Wolf	human
E00202	Spike Milligan	human
E00203	playwright	occupation
E00204	Lari White	human
E00205	The Godfather	film
E00206	Smokey Robinson	human
E00207	Ivan Olbracht	human
E00208	Steve Carell	human
E00209	children's literature	literary_genre
E00210	Yaroslav Smelyakov	human
E00211	Thomas Winkelbauer	human
E00212	Annie Girardot	human
E00213	Sarajevo	city
E00214	Dave Wakeling	human
E00215	Katharine Houghton	human
E00216	Norwegian Academy of Science and Letters	academy_of_sciences
E00217	The Maltese Falcon	film
E00218	Mike Bongiorno	human
E00219	Baden-Baden	spa_town
E00220	John Rhys-Davies	human
E00221	Johannes Grenzfurthner	human
E00222	Democratic Republic of the Congo	country
E00223	Isabel Coixet	human
E00224	The Dark Knight Rises	film
E00225	Leo Strauss	human
E00226	Jim Lee	human
E00227	Lviv	city_of_regional_significance_of_ukraine
E00228	Max Reimann	human
E00229	Walter Gross	human
E00230	St. Louis	big_city
E00231	Lyubov Axelrod	human
E00232	Niccolò Tommaseo	human
E00233	Willem Drees	human
E00234	John Paul II	human
E00235	cartoonist	profession
E00236	Jacqueline Susann	human
E00237	Meaghan Jette Martin	human
E00238	Ramsay MacDonald	human
E00239	Angela Bassett	human
E00240	The Family Man	film
E00241	Valery Afanassiev	human
E00242	Maximilian Voloshin	human
E00243	Toshirō Mifune	human
E00244	Al-Biruni	human
E00245	Richard Tandy	human
E00246	Peter Fox	human
E00247	Tadeusz Lewicki	human
E00248	Paul Newman	human
E00249	Steven Wilson	human
E00250	Paul Oestreich	human
E00251	Na Hye-sok	human
E00252	Hamish Stuart	human
E00253	Gene Tierney	human
E00254	Vytautas Landsbergis	human
E00255	Hellmuth Karasek	human
E00256	Oxford	college_town
E00257	Sarah Jessica Parker	human
E00258	Jimmy Osmond	human
E00259	Rachel Ticotin	human
E00260	Alexandria	port_settlement
E00261	Władysław Tarnowski	human
E00262	Max Jacob	human
E00263	Ludwig Heinrich von Nicolai	human
E00264	Loren Bouchard	human
E00265	Andrey Malakhov	human
E00266	Konstantin Vasilyevich Frolov	human
E00267	James D. Watson	human
E00268	Loie Fuller	human
E00269	Autonomous University of Barcelona	public_university
E00270	Carlos Barral	human
E00271	Joachim Fuchsberger	human
E00272	Alain Robbe-Grillet	human
E00273	Ryan Phillippe	human
E00274	Fred Lipsius	human
E00275	poker player	profession
E00276	The Heartbreak Kid	film
E00277	Evanston	city_of_the_united_states
E00278	Ricardo Piglia	human
E00279	Urs Widmer	human
E00280	Tim Curry	human
E00281	Hardrock Gunter	human
E00282	Lucian Blaga	human
E00283	Michael Bar-Zohar	human
E00284	Néstor Carbonell	human
E00285	The Scorpion King	film
E00286	Jean Longuet	human
E00287	Léo Delibes	human
E00288	Bruno Hildebrand	human
E00289	James Roday	human
E00290	Jorja Fox	human
E00291	Heinrich Wilhelm Olbers	human
E00292	Zbigniew Lengren	human
E00293	photographer	profession
E00294	Peter Strauss	human
E00295	Ray Sharpe	human
E00296	Count Anton Alexander von Auersperg	human
E00297	Dmitry Pavlovich Grigorovich	human
E00298	Severina	human
E00299	Katherine Jackson	human
E00300	Eli Wallach	human
E00301	Have Dreams, Will Travel	film
E00302	Patrice Chéreau	human
E00303	Ernst Gombrich	human
E00304	Alter Bridge	musical_group
E00305	William of Ockham	human
E00306	Djimon Hounsou	human
E00307	Lycée Pierre-Corneille	lyc_e
E00308	Leonard Cohen	human
E00309	Barbara Pierce Bush	human
E00310	Speed	film
E00311	Ron Taylor	human
E00312	Ettore Bugatti	human
E00313	Richard Yates	human
E00314	Gustavo Adolfo Bécquer	human
E00315	Valerie Perrine	human
E00316	Dan John Miller	human
E00317	The Edge	human
E00318	Farah Khan	human
E00319	Anna Kuliscioff	human
E00320	Avex Trax	record_label
E00321	Not as a Stranger	film
E00322	Hermann Höcherl	human
E00323	Per Gessle	human
E00324	Bob Balaban	human
E00325	Peter's Friends	film
E00326	August Hirt	human
E00327	Patrick Pearse	human
E00328	Antonio Machado	human
E00329	Ralph Waldo Emerson	human
E00330	Maria Shriver	human
E00331	Wyclef Jean	human
E00332	Zac Efron	human
E00333	Monster in the Closet	film
E00334	Charlotte Kerr	human
E00335	Temistocle Solera	human
E00336	Cliffie Stone	human
E00337	Benjamin Constant	human
E00338	statistician	profession
E00339	Ulrich Frédéric Woldemar, Comte de Lowendal	human
E00340	Vassilis Tsitsanis	human
E00341	Bill Frisell	human
E00342	The Hangover	film
E00343	Smith College	university
E00344	Calvinism	religious_denomination
E00345	Giuseppe Verdi	human
E00346	Jimmy Castor	human
E00347	Rhode Island School of Design	private_university
E00348	Philippe de Rothschild	human
E00349	Koblenz	independent_city_of_germany
E00350	Stanisław Jerzy Lec	human
E00351	Rosa Schapire	human
E00352	Charles Lyell	human
E00353	Garry Marshall	human
E00354	Ottawa	census_subdivision
E00355	Rafiq Zakaria	human
E00356	programmer	profession
E00357	Organisation of Islamic Cooperation	organization
E00358	Ivo Andrić	human
E00359	Sleuth	film
E00360	Leelo Tungal	human
E00361	Henry Kissinger	human
E00362	George Friedman	human
E00363	Kurt von Fischer	human
E00364	Judd Nelson	human
E00365	Karl Gustav Homeyer	human
E00366	Leibniz University Hannover	university
E00367	Zoë Tamerlis Lund	human
E00368	Scottish people	ethnic_group
E00369	Mike Pinder	human
E00370	Josefina Pla	human
E00371	Soong May-ling	human
E00372	Boosie Badazz	human
E00373	Mr. Oizo	human
E00374	Isabel Preysler	human
E00375	Jean d'Ormesson	human
E00376	Heinrich Ehrlich	human
E00377	Peter Singer	human
E00378	It	television_film
E00379	University of Utah	public_educational_institution_of_the_united_states
E00380	Caroline Rémy de Guebhard	human
E00381	Walker Evans	human
E00382	Tivadar Puskás	human
E00383	Jimmie Dale Gilmore	human
E00384	Andrei Filotti	human
E00385	Yuko Ogura	human
E00386	Anne Desclos	human
E00387	The Searchers	film
E00388	professor	profession
E00389	Fritz Fischer	human
E00390	caricaturist	profession
E00391	24 Hour Party People	film
E00392	Alice in Wonderland	miniseries
E00393	Hellenic Philological Society of Constantinople	learned_society
E00394	Joe Walsh	human
E00395	The Matrix	film
E00396	Gena Rowlands	human
E00397	Digital Underground	musical_group
E00398	August Schleicher	human
E00399	Marty Robbins	human
E00400	The Departed	film
E00401	McCoy Tyner	human
E00402	Richard Sorge	human
E00403	Shakespeare in Love	film
E00404	Walter H. Schottky	human
E00405	Prosper Mérimée	human
E00406	Misono	human
E00407	autobiographer	occupation
E00408	M. G. Ramachandran	human
E00409	Matt Lucas	human
E00410	Asgeir Mickelson	human
E00411	Eddie Marsan	human
E00412	Hans Zimmer	human
E00413	Saw II	film
E00414	Hans Frank	human
E00415	Jesus of Nazareth	miniseries
E00416	Missile Technology Control Regime	intergovernmental_organization
E00417	Hayko	human
E00418	Lore Segal	human
E00419	Hungarian Academy of Sciences	academy_of_sciences
E00420	Charles Rappoport	human
E00421	Frederick Terman	human
E00422	James Ransone	human
E00423	Warner Records	record_label
E00424	Amir Pnueli	human
E00425	Rick Rubin	human
E00426	Gilbert Bécaud	human
E00427	Sony Music Entertainment Japan	record_label
E00428	The Shining	film
E00429	Oskar Lafontaine	human
E00430	Jaan Kaplinski	human
E00431	Tears of the Sun	film
E00432	Harvey Fuqua	human
E00433	František Palacký	human
E00434	Zeki Velidi Togan	human
E00435	Norman Whitfield	human
E00436	Cloud Atlas	film
E00437	Sarah Dawn Finer	human
E00438	Valkyrie	film
E00439	Ulrike Meinhof	human
E00440	Thomas Young	human
E00441	Michel Déon	human
E00442	Dmytro Pavlychko	human
E00443	Hamid Dabashi	human
E00444	Egypt	mediterranean_country
E00445	John Coolidge Adams	human
E00446	Felix Wankel	human
E00447	Friedrich Maassen	human
E00448	Bob Dornan	human
E00449	Alexander Schenk Graf von Stauffenberg	human
E00450	Ecuador	country
E00451	Jim Nabors	human
E00452	Kirsan Ilyumzhinov	human
E00453	Ben Bova	human
E00454	Davíð Oddsson	human
E00455	Isidore of Seville	human
E00456	Anne Murray	human
E00457	Jason Derulo	human
E00458	Jagjit Singh	human
E00459	Booker T. Washington	human
E00460	Jennifer Saunders	human
E00461	Carlo Goldoni	human
E00462	Miranda Otto	human
E00463	Konstantin Simonov	human
E00464	The Hurt Locker	film
E00465	Sébastien Japrisot	human
E00466	John Donne	human
E00467	Where the Truth Lies	film
E00468	Enjott Schneider	human
E00469	cellist	musical_profession
E00470	Billy Dee Williams	human
E00471	Dilip Kumar	human
E00472	Mona Simpson	human
E00473	Stanislaus Hosius	human
E00474	Frigyes Karinthy	human
E00475	Wolfgang Bibel	human
E00476	Peter Härtling	human
E00477	Ike Turner	human
E00478	Magda Szabó	human
E00479	Wieland Wagner	human
E00480	Lope de Vega	human
E00481	Nicholas Ray	human
E00482	Maxwell Davis	human
E00483	Aurobindo Ghosh	human
E00484	Empire of the Sun	film
E00485	Dorothée	human
E00486	Bernard Chazelle	human
E00487	Anita Sarkeesian	human
E00488	Denzel Whitaker	human
E00489	Arab Fund for Economic and Social Development	organization
E00490	Frantz Fanon	human
E00491	Elizabeth Berkley	human
E00492	Friedrich Ebert	human
E00493	Tim Maia	human
E00494	Ludwig Hoelscher	human
E00495	Soleil Moon Frye	human
E00496	Molly Sandén	human
E00497	Jane Wyman	human
E00498	Friedrich Adolf Trendelenburg	human
E00499	Liberal Party	political_party
E00500	Sian Evans	human
E00501	8th arrondissement of Paris	municipal_arrondissement
E00502	Ben Kingsley	human
E00503	Karl Laux	human
E00504	Fabian	human
E00505	Shing-Tung Yau	human
E00506	Jessie Cave	human
E00507	University of Hamburg	university
E00508	Eric Martin	human
E00509	Ricky Nelson	human
E00510	Ralph Nader	human
E00511	Francis Higbee Case	human
E00512	Karl Mannheim	human
E00513	Lee Byung-hun	human
E00514	The Day After Tomorrow	film
E00515	František Josef Gerstner	human
E00516	Juan Donoso Cortés	human
E00517	Training Day	film
E00518	Frederick William University	university
E00519	Anna Karenina	film
E00520	Anthony E. Siegman	human
E00521	Robert Merrill	human
E00522	tuberculosis	disease
E00523	Mircea Albulescu	human
E00524	Ferdinand von Richthofen	human
E00525	Jonathan Borofsky	human
E00526	DJ Khalil	human
E00527	Almedha	human
E00528	Rainis	human
E00529	Dorothy Parker	human
E00530	Kseniya Sobchak	human
E00531	Wolfgang Iser	human
E00532	Chorzów	city
E00533	August von Kotzebue	human
E00534	Zhores Alfyorov	human
E00535	Zahi Hawass	human
E00536	Schutzstaffel	paramilitary
E00537	experimental rock	music_genre
E00538	Thea von Harbou	human
E00539	Kenneth N. Stevens	human
E00540	Luis Guzmán	human
E00541	Otto Grotewohl	human
E00542	Serbo-Croatian	language
E00543	Felix Andries Vening Meinesz	human
E00544	Regina Taylor	human
E00545	Herta Däubler-Gmelin	human
E00546	Beth Orton	human
E00547	Camilla Belle	human
E00548	Maximilien Robespierre	human
E00549	Eli Roth	human
E00550	Hillary Clinton	human
E00551	Julio Baghy	human
E00552	Carly Rae Jepsen	human
E00553	François Bondy	human
E00554	Betty Wright	human
E00555	Lavrentiy Beria	human
E00556	Edinburgh	city
E00557	Bruce Campbell	human
E00558	Olšany Cemetery	cemetery
E00559	Ba Jin	human
E00560	music theorist	profession
E00561	Ancient Greek	language
E00562	David Axelrod	human
E00563	Takanori Nishikawa	human
E00564	Jürgen Prochnow	human
E00565	Clive Davis	human
E00566	Joan of Arc	miniseries
E00567	Gottfried Keller	human
E00568	Sergei Vasilyevich Lebedev	human
E00569	Interscope Records	record_label
E00570	Johann Georg Hamann	human
E00571	Ary Barroso	human
E00572	Bret Easton Ellis	human
E00573	Anna Tsuchiya	human
E00574	Riki Lindhome	human
E00575	Hermann Giesler	human
E00576	Bradley Cooper	human
E00577	George Coșbuc	human
E00578	Roman Coppola	human
E00579	Sean Lennon	human
E00580	Sonny Burgess	human
E00581	Lee DeWyze	human
E00582	Rhineland-Palatinate	state_of_germany
E00583	Marcel Marceau	human
E00584	The Piano Teacher	film
E00585	Ruth Fischer	human
E00586	Chris Metzen	human
E00587	13 Going on 30	film
E00588	Jacobus Henricus van 't Hoff	human
E00589	David Hume	human
E00590	Raven-Symoné	human
E00591	Dennis M. Ritchie	human
E00592	Scott Grimes	human
E00593	"""California State University, Northridge"""	university
E00594	Charles Lindbergh	human
E00595	Sooyoung	human
E00596	Efraim Sevela	human
E00597	Kim Gordon	human
E00598	Sarah Polley	human
E00599	Oliver La Farge	human
E00600	University of Genoa	university
E00601	Lynn Anderson	human
E00602	Tomohisa Yamashita	human
E00603	Henri Blaze	human
E00604	Ellie Goulding	human
E00605	Glendale	city_of_the_united_states
E00606	Cornell University	land_grant_university
E00607	Budapest	town_in_hungary
E00608	T. J. Thyne	human
E00609	Jenny Lind	human
E00610	John Ousterhout	human
E00611	Simon Carmiggelt	human
E00612	Heiner Koch	human
E00613	Eduardo Verástegui	human
E00614	Linda Hamilton	human
E00615	Chris Penn	human
E00616	Max Bense	human
E00617	Frederica Sagor Maas	human
E00618	Arthur Rothstein	human
E00619	Matvei Zakharov	human
E00620	Edgar Mitchell	human
E00621	Leszek Kołakowski	human
E00622	S. I. Bernshteĭn	human
E00623	Cornelia Pieper	human
E00624	Michael Wolff	human
E00625	Allied-occupied Germany	occupied_territory
E00626	Wotan Wilke Möhring	human
E00627	Karl Eberhard Schöngarth	human
E00628	Henry Hartsfield	human
E00629	Ann Sothern	human
E00630	Takeshi Kaikō	human
E00631	Brooke White	human
E00632	Alexei Kosygin	human
E00633	Josh Kelley	human
E00634	Ian Buruma	human
E00635	Kim Hunter	human
E00636	James Madison	human
E00637	Hans Stüwe	human
E00638	James K. Polk	human
E00639	Luci van Org	human
E00640	Academia Europaea	academy_of_sciences
E00641	Batman Forever	film
E00642	Anton Rehmann	human
E00643	Michael Higgins	human
E00644	Marc Isambard Brunel	human
E00645	James Coburn	human
E00646	Jules Amédée Barbey d'Aurevilly	human
E00647	Robert Forster	human
E00648	Fred Durst	human
E00649	Aaron Paul	human
E00650	Eurasia	supercontinent
E00651	Emil Staiger	human
E00652	Julia Roberts	human
E00653	Vyacheslav Molotov	human
E00654	Will Ferrell	human
E00655	Poppelsdorfer Friedhof	cemetery
E00656	Benjamin Disraeli	human
E00657	The Killers	film
E00658	Wolfgang Boettcher	human
E00659	Rozonda Thomas	human
E00660	Christopher Eccleston	human
E00661	An Alan Smithee Film: Burn Hollywood Burn	film
E00662	Edward J. McCluskey	human
E00663	David Hasselhoff	human
E00664	Lev Gumilyov	human
E00665	Nathan Larson	human
E00666	Brendan Gleeson	human
E00667	Tomorrow Never Dies	film
E00668	The Forgotten	film
E00669	Francisco de Paula Martínez de la Rosa y Berdejo	human
E00670	Raekwon	human
E00671	Stardust	film
E00672	Holly Madison	human
E00673	Alfons Gorbach	human
E00674	Morris Cohen	human
E00675	Claude Lelouch	human
E00676	Christine Kaufmann	human
E00677	Diane Lane	human
E00678	Conrad Malte-Brun	human
E00679	Willi Bredel	human
E00680	Elihu Thomson	human
E00681	John Evans	human
E00682	Jason Bateman	human
E00683	Adolf Slaby	human
E00684	Mikis Theodorakis	human
E00685	Channing Tatum	human
E00686	Sergei Solovyov	human
E00687	The Client	film
E00688	Gurf Morlix	human
E00689	Kamo Seropovitsj Demirtsjjan	human
E00690	Alexander Tarasov	human
E00691	A Fistful of Dollars	film
E00692	Yu-chien Kuan	human
E00693	Christian Graf von Krockow	human
E00694	Zelda Rubinstein	human
E00695	Ze'ev Boim	human
E00696	Richard Jozsa	human
E00697	LGBT-related film	film_genre
E00698	Peter Cornelius	human
E00699	Catholic Church	christian_church
E00700	Rodney Jerkins	human
E00701	The Mummy: Tomb of the Dragon Emperor	film
E00702	Jewel	human
E00703	Philippe Soupault	human
E00704	Ravi Shankar	human
E00705	Mahalia Jackson	human
E00706	Aftermath Entertainment	record_label
E00707	Katey Sagal	human
E00708	William Baldwin	human
E00709	Superman Returns	3d_film
E00710	Cedella Marley	human
E00711	Ludwig Minkus	human
E00712	Toronto	single_tier_municipality
E00713	Blu Mankuma	human
E00714	Tadeusz Mazowiecki	human
E00715	Martin Sheen	human
E00716	Alfred Grosser	human
E00717	Langston Hughes	human
E00718	Margarete Susman	human
E00719	Bill Cosby	human
E00720	biographical film	film_genre
E00721	Danielle Harris	human
E00722	Experimental Centre of Cinematography	film_school
E00723	Roland Moreno	human
E00724	Justin Cronin	human
E00725	Scarface	human
E00726	Roberto Benigni	human
E00727	Sigourney Weaver	human
E00728	Karen Dalton	human
E00729	Gianni Morandi	human
E00730	Curt Siodmak	human
E00731	Athol Fugard	human
E00732	Axelle Carolyn	human
E00733	Predators	film
E00734	Shagrath	human
E00735	Always	film
E00736	Joseph Wittig	human
E00737	Jacques Ibert	human
E00738	Jacqueline Barton	human
E00739	Arianwen	human
E00740	Gaston Tissandier	human
E00741	Sylvia Chang	human
E00742	Georg Thilenius	human
E00743	Adrian Rawlins	human
E00744	Jack McGee	human
E00745	Merle Oberon	human
E00746	Qatar	emirate
E00747	multi-instrumentalist	craft
E00748	Sebastian Barry	human
E00749	Charles Algernon Parsons	human
E00750	Charles Baudelaire	human
E00751	Maurice Schumann	human
E00752	Giorgio Vasari	human
E00753	David Moss	human
E00754	Holy See	episcopal_see
E00755	Mr. & Mrs. Smith	film
E00756	The Queen	film
E00757	Max Bodenheimer	human
E00758	Wolfgang Yourgrau	human
E00759	Allison Janney	human
E00760	Burgess Meredith	human
E00761	Robert Hill	human
E00762	Step Up	film
E00763	Brian Tochi	human
E00764	Christina Ricci	human
E00765	Wolfgang Schadewaldt	human
E00766	Ani Lorak	human
E00767	Russell Means	human
E00768	Buddhism	relajaci_n
E00769	Matt Schulze	human
E00770	Elmer Ambrose Sperry	human
E00771	Buddy Knox	human
E00772	science fiction writer	profession
E00773	Saul Williams	human
E00774	Copenhagen	capital
E00775	Ricarda Huch	human
E00776	Ho Chi Minh	human
E00777	New Rochelle	city_of_the_united_states
E00778	Island Records	record_label
E00779	Bernadette Peters	human
E00780	laryngeal cancer	disease
E00781	Havoc	human
E00782	Alfred Braun	human
E00783	Morehouse College	college
E00784	Elisabeth Kulmann	human
E00785	Carlos Franzetti	human
E00786	Nanni Loy	human
E00787	Gustav Heinemann	human
E00788	Theodor Oberländer	human
E00789	Marc Monnier	human
E00790	literary critic	profession
E00791	Juan Rulfo	human
E00792	Mary Steenburgen	human
E00793	Eudoxiu Hurmuzachi	human
E00794	Konstanz	big_district_town
E00795	Sarah McLachlan	human
E00796	Kay Bailey Hutchison	human
E00797	Amelia Tamal Warner	human
E00798	Spider-Man 3	film
E00799	Tim Reid	human
E00800	Karl Goldmark	human
E00801	Delirious	film
E00802	Allan Edwall	human
E00803	Jérôme Lalande	human
E00804	Bruno Beater	human
E00805	Keith Whitley	human
E00806	Chinua Achebe	human
E00807	Laura Jansen	human
E00808	Miroslav Ivanov	human
E00809	short story	literary_genre
E00810	Mick Jagger	human
E00811	Yun Chi-Young	human
E00812	Paul Baender	human
E00813	Abel Matutes	human
E00814	Danny Kirwan	human
E00815	Emir Rodríguez Monegal	human
E00816	Garth Hudson	human
E00817	Ozzy Osbourne	human
E00818	Max Fechner	human
E00819	Robin Hood	film
E00820	Suetonius	human
E00821	Würzburg	major_regional_center
E00822	Joseph O. Hirschfelder	human
E00823	Louis Althusser	human
E00824	John Zorn	human
E00825	Judgment at Nuremberg	film
E00826	Luc Bondy	human
E00827	Yitzhak Mordechai	human
E00828	Ernst von Wildenbruch	human
E00829	Johnny Cash	human
E00830	Valeriya Novodvorskaya	human
E00831	Heinrich Zöllner	human
E00832	Gitte Hænning	human
E00833	Sergey Ilyushin	human
E00834	Sturmabteilung	paramilitary
E00835	Questlove	human
E00836	Erskine Caldwell	human
E00837	Abulhassan Banisadr	human
E00838	photography	art
E00839	ZDF	television_network
E00840	Kurtis Blow	human
E00841	Chris Drange	human
E00842	Ignaz von Born	human
E00843	Kurt Rosenfeld	human
E00844	Psycho	film
E00845	Siim Kallas	human
E00846	David Benioff	human
E00847	Burton C. Bell	human
E00848	Julian Barnes	human
E00849	The Godfather Part III	film
E00850	Who Framed Roger Rabbit	feature_film
E00851	Henry James	human
E00852	Johan Edlund	human
E00853	The 400 Blows	film
E00854	Vitold Cerasky	human
E00855	Abel Botelho	human
E00856	James Galway	human
E00857	Huntsville	city_of_the_united_states
E00858	electronic rock	music_genre
E00859	Gal Gadot	human
E00860	Earl Turbinton	human
E00861	Zagreb	capital
E00862	University of Houston	university
E00863	Ariana Grande	human
E00864	Johann Georg Jacobi	human
E00865	Claude-Louis Navier	human
E00866	Ira Gitler	human
E00867	Jimmy Rogers	human
E00868	American Philosophical Society	organization
E00869	Józef Bilczewski	human
E00870	Paul O'Neill	human
E00871	Dan Brown	human
E00872	George Mueller	human
E00873	Where Eagles Dare	film
E00874	type-1 diabetes	disease
E00875	Sofia	big_city
E00876	Tobias Kassung	human
E00877	Jonny Lee Miller	human
E00878	easy listening	music_genre
E00879	Kate Greenaway	human
E00880	Damian Lewis	human
E00881	Anne Heche	human
E00882	Luis Rodríguez	human
E00883	Corinne Griffith	human
E00884	Romany Malco	human
E00885	Denholm Elliott	human
E00886	Jason Schwartzman	human
E00887	Dave Eggers	human
E00888	Antonio Pappano	human
E00889	O. J. Simpson	human
E00890	P.J. Proby	human
E00891	Gérard de Nerval	human
E00892	Nathaniel P. Banks	human
E00893	Myanmar	sovereign_state
E00894	Pernilla Wahlgren	human
E00895	Ashraf Ghani Ahmadzai	human
E00896	Grigore Vieru	human
E00897	Patti LaBelle	human
E00898	Edwin O. Reischauer	human
E00899	James Marsden	human
E00900	Greg Wise	human
E00901	Josef Kramer	human
E00902	"""University of California, Santa Barbara"""	university
